Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C19702
C10,0402,1,4.7u,C14663
"C11, C5",0402,2,100n,
"C12, C8, C9",0402,3,4.7u,
"C13, C15, C16, C17, C18, C19, C20, C21",0402,8,100n,C14663
"C14, C2, C22, C23, C4",0402,5,100nF,C14663
C3,0805,1,22uF,
C6,0402,1,15p,
C7,0402,1,15p,C14663
"D1, D2, D3",D_SOD-323,3,PMEG2010AEH,C181276
F1,1206,1,500mA,
J1,USB_A_Receptacle_Edge_C42614,1,USB-A Host,C42614
J2,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,JST-XH-5A,C157932
J3,PinHeader_1x04_P2.54mm_Vertical,1,OLED I2C,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Reserve 3V3+GP+GND+VSYS,
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,JST-SH-3 SWD,C160403
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,JST-SH-3 UART,C160403
J7,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Pin,
L1,L_pol_2016,1,2.2u,C1046
LED1,0603,1,Status_Green,
LED2,0603,1,Activity_Yellow,
"R1, R2",0603,2,1k,
"R10, R11, R5",0402,3,33,C25104
"R12, R13",0402,2,DNF 4k7,
R3,0402,1,10k,C25804
"R4, R6, R7",0402,3,1k,
"R8, R9",0402,2,27,
SJ1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,OLED_VCC_SEL,
SW1,SW_SMD_Tact_4x3_4P_C139797,1,Boot,C139797
SW2,SW_SMD_Tact_4x3_4P_C139797,1,Run,C139797
U1,SOT-23-6,1,USBLC6-2SC6,C7480
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSSIQ,C82317
U4,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U5,VSSOP-8_2.3x2mm_P0.5mm,1,TXS0102DCUR,C53411
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz_3225_18pF_60Ω,C9002
