JLCPCB BOM Tool - BOM Matching;;;;;;;;;;;;;;;;;
BOM name：bom-JLCPCB Assembly Order.xlsx;;;Download Time：2026-05-11 06:29:43;;;;"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.";;;;;;;;;;
PCB Assembled Qty：10;;;Est. Total Price：39.3018;;;;;;;;;;;;;;
Your BOM;;;;;Matched Parts;;;;;;;Order Information;;;;;
Top Designator;Bottom Designator;Comment;Footprint;JLCPCB Part #;Matches;Part # ;Manufacturer;Footprint;Description;Category;Warning;JLCPCB Part #;Product link;Lib Type;Qty;Source;Total Price ($)
;C1;10uF;0805;;Select by Customer;CC0805KKX5R8BB106;YAGEO;0805;10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C89831;https://jlcpcb.com/partdetail/YAGEO-CC0805KKX5R8BB106/C89831;Extended;14;14 JLCPCB;0,5894
;C3;22uF;0805;;Select by Customer;CL21A226MAQNNNE;Samsung Electro-Mechanics;0805;22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C45783;https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783;Basic;20;20 JLCPCB;0,692
C6;;15pF;0402;;Select by Customer;GJM1555C1H150FB01D;Murata Electronics;0402;15pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C441742;https://jlcpcb.com/partdetail/442066-GJM1555C1H150FB01D/C441742;Extended;20;20 JLCPCB;0,48
C7;;15pF;0402;;Select by System;GJM1555C1H150FB01D;Murata Electronics;0402;15pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C441742;https://jlcpcb.com/partdetail/442066-GJM1555C1H150FB01D/C441742;Extended;20;20 JLCPCB;0,48
C8,C9;C12;4.7u;0402;;Select by Customer;CL05A475KP5NRNC;Samsung Electro-Mechanics;0402;10V 4.7uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;"1.The comment (CL05A475KP5NRNC) of this part does not match the one (4.7u) provided in your BOM. Please confirm;";C368809;https://jlcpcb.com/partdetail/342854-CL05A475KP5NRNC/C368809;Extended;60;60 JLCPCB;0,396
;C10;4.7u;0402;;Select by Customer;CL05A475KP5NRNC;Samsung Electro-Mechanics;0402;10V 4.7uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C368809;https://jlcpcb.com/partdetail/342854-CL05A475KP5NRNC/C368809;Extended;60;60 JLCPCB;0,396
;C11,C5;100nF;0402;;Select by System;GRM1555C1H150FA01D;Murata Electronics;0402;15pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C161530;https://jlcpcb.com/partdetail/172911-GRM1555C1H150FA01D/C161530;Extended;160;160 JLCPCB;1,296
;C13,C15,C16,C17,C18,C19,C20,C21;100nF;0402;;Select by System;GRM1555C1H150FA01D;Murata Electronics;0402;15pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C161530;https://jlcpcb.com/partdetail/172911-GRM1555C1H150FA01D/C161530;Extended;160;160 JLCPCB;1,296
;C14,C2,C22,C23,C4;100nF;0402;;Select by Customer;GRM1555C1H150FA01D;Murata Electronics;0402;15pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;Multilayer Ceramic Capacitors MLCC - SMD/SMT;;C161530;https://jlcpcb.com/partdetail/172911-GRM1555C1H150FA01D/C161530;Extended;160;160 JLCPCB;1,296
;D1,D2,D3;PMEG2010AEH;D_SOD-323;;Select by Customer;PMEG2010AEH-MS;MSKSEMI;SOD-123FL;-55℃~+125℃ 1 Independent 1A 20V 300uA@20V 30A 550mV@1A SOD-123FL Schottky Diodes ROHS;;;C52287404;https://jlcpcb.com/partdetail/MSKSEMI-PMEG2010AEHMS/C52287404;Extended;30;30 JLCPCB;2,049
;F1;500mA;1206;;Select by System;BSMD1206-050-33V;BHFUSE;1206;-40℃~+85℃ 1.9mm 150mΩ 1A 1mm 3.6mm 33V 40A 500mA 800mW 850mΩ 1206 Resettable Fuses ROHS;Resettable Fuses;;C7202014;https://jlcpcb.com/partdetail/BHFUSE-BSMD1206_05033V/C7202014;Extended;14;14 JLCPCB;0,9562
J1;;USB-AHost;USB_A_Receptacle_Edge_C42614;;Select by System;905-261A1011D10100;Jing Extension of the Electronic Co.;插件;-35℃~+85℃ 1 1.5A 14.1mm 30V 4P Female Laminated board Type-A USB 2.0 White 插件 USB Connectors ROHS;USB Connectors;;C42614;https://jlcpcb.com/partdetail/43605-905261A1011D10100/C42614;Extended;10;10 JLCPCB;0,566
J2;;JST-XH-5A;JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical;;Select by Customer;XH-5A;Korean Hroparts Elec;插件,P=2.54mm;-25℃~+85℃ 1 15mm 1x5P 2.54mm 250V 5 5.7mm 5P 7.2mm PA66 Through Hole White XH 插件,P=2.54mm Wire To Board Connector ROHS;Wire To Board Connector;;C7551124;https://jlcpcb.com/partdetail/Korean_HropartsElec-XH5A/C7551124;Extended;10;10 JLCPCB;0,516
J3;;OLEDI2C;PinHeader_1x04_P2.54mm_Vertical;;Select by Customer;HX PH254-01-04-Z-L11.5 straight pin header;hanxia;插件,P=2.54mm;-40℃~+105℃ 1 1kV 1x4P 2.54mm 2.5mm 3A 3mm 4P 6mm Brass Gold Pin Header Through Hole 插件,P=2.54mm Pin Headers ROHS;;;C52016392;https://jlcpcb.com/partdetail/C52016392;Extended;0;0 JLCPCB;0
J4;;Reserve3V3+GP+GND+VSYS;PinHeader_1x05_P2.54mm_Vertical;;Select by Customer;A2541WV-5P;CJT(Changjiang Connectors);插件,P=2.54mm;-40℃~+105℃ 1 1x5P 2.54mm 2.54mm 250V 3A 3mm 5P 6mm Black Brass Gold Pin Header Through Hole 插件,P=2.54mm Pin Headers ROHS;Pin Headers;;C225480;https://jlcpcb.com/partdetail/CJT_Changjiang_Connectors-A2541WV5P/C225480;Extended;0;0 JLCPCB;0
J5;;JST-SH-3SWD;JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal;;Unconfirmed;SM03B-SRSS-TB(LF)(SN);JST;SMD,P=1mm,卧贴;-25℃~+85℃ 1 1A 1mm 1x3P 2.9mm 3 3P 4.32mm 50V 5mm Auxiliary Solder Pin Copper alloy PA SH Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1mm,卧贴 Wire To Board Connector ROHS;Wire To Board Connector;"1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;";C160403;https://jlcpcb.com/partdetail/JST-SM03B_SRSS_TB_LF_SN/C160403;Extended;0;0 JLCPCB;0
J6;;JST-SH-3UART;JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal;;Unconfirmed;SM03B-SRSS-TB(LF)(SN);JST;SMD,P=1mm,卧贴;-25℃~+85℃ 1 1A 1mm 1x3P 2.9mm 3 3P 4.32mm 50V 5mm Auxiliary Solder Pin Copper alloy PA SH Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1mm,卧贴 Wire To Board Connector ROHS;Wire To Board Connector;"1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;";C160403;https://jlcpcb.com/partdetail/JST-SM03B_SRSS_TB_LF_SN/C160403;Extended;0;0 JLCPCB;0
J7;;Conn_01x06_Pin;PinHeader_1x06_P1.27mm_Vertical;;Select by Customer;PZ127-1-06-Z;HCTL;插件,P=1.27mm;-40℃~+105℃ 1 1.27mm 1A 1mm 1x6P 2.4mm 3.8mm 6P Black Brass Pin Header Through Hole 插件,P=1.27mm Pin Headers ROHS;Pin Headers;;C5372829;https://jlcpcb.com/partdetail/HCTL-PZ127_1_06Z/C5372829;Extended;0;0 JLCPCB;0
L1;;2.2u;L_pol_2016;;Select by System;SDFL2012S100KTF;Sunlord;0805;1.15Ω 10uH 15mA 24MHz 50@2MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS;Inductors (SMD);;C1046;https://jlcpcb.com/partdetail/Sunlord-SDFL2012S100KTF/C1046;Basic;20;20 JLCPCB;0,968
LED1;;Status_Green;0603;;Unconfirmed;XL-1608UGC-04;XINGLIGHT;0603;-40℃~+85℃ 120° 20mA 3.3V 515nm~535nm 525nm 70mW 810mcd Discrete Diode Emerald Green Top-mount Water Clear 0603 LED Indication - Discrete ROHS;LED Indication - Discrete;"1.The comment (XL-1608UGC-04) of this part does not match the one (Status_Green) provided in your BOM. Please confirm;";C965804;https://jlcpcb.com/partdetail/XINGLIGHT-XL_1608UGC04/C965804;Extended;22;22 JLCPCB;0,1122
LED2;;Activity_Yellow;0603;;Select by System;19-213/Y2C-CQ2R2L/3T(CY);Everlight Elec;0603;-40℃~+85℃ 1.7V~2.3V 120° 20mA 585.5nm~591.5nm 591nm 60mW 90mcd~180mcd Water Clear Yellow 0603 LED Indication - Discrete ROHS;LED Indication - Discrete;;C72038;https://jlcpcb.com/partdetail/73147-19_213_Y2C_CQ2R2L_3T_CY/C72038;Extended;20;20 JLCPCB;0,456
;R1,R2;1k;0603;;Select by Customer;0603WAF1001T5E;UNI-ROYAL(Uniroyal Elec);0603;-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS;Chip Resistor - Surface Mount;"1.The comment (0603WAF1001T5E) of this part does not match the one (1k) provided in your BOM. Please confirm;
2.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;";C21190;https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190;Basic;70;70 JLCPCB;0,112
R4;R6,R7;1k;0402;;Select by Customer;0603WAF1001T5E;UNI-ROYAL(Uniroyal Elec);0603;-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS;Chip Resistor - Surface Mount;"1.The footprint (0603) of this part does not match the one (0402) provided in your BOM. Please confirm;
2.The comment (0603WAF1001T5E) of this part does not match the one (1k) provided in your BOM. Please confirm;
3.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;";C21190;https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190;Basic;70;70 JLCPCB;0,112
;R3;10k;0402;;Select by Customer;0402WGF1002TCE;UNI-ROYAL(Uniroyal Elec);0402;-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS;Chip Resistor - Surface Mount;;C25744;https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744;Basic;20;20 JLCPCB;0,026
